SUBSTANCE	DEA NUMBER	CSA SCH	NARC	OTHER NAMES
(1-(4-fluorobenzyl)-1h-indol-3-yl)(2,2,3,3­ tetramethylcyclopropyl)methanone	7014	I	N	fub-144
[3,2-c]-furazan-5α-androstan-17β-ol	4000	III	N	
[3,2-c]pyrazole-androst-4-en-17β-ol	4000	III	N	
1-(1-phenylcyclohexyl)pyrrolidine	7458	I	N	pcpy, php, rolicyclidine
1-(2-phenylethyl)-4-phenyl-4-acetoxypiperidine	9663	I	Y	pepap, synthetic heroin
1-(5-fluoropentyl)-n-(2-phenylpropan-2-yl)-1h­ indazole-3-carboxamide	7083	I	N	5f-cumyl-pinaca; sgt-25
1-[1-(2-thienyl)cyclohexyl]piperidine	7470	I	N	tcp, tenocyclidine
1-[1-(2-thienyl)cyclohexyl]pyrrolidine	7473	I	N	tcpy
13beta-ethyl-17beta-hydroxygon-4-en-3-one	4000	III	N	
17alpha-methyl-3alpha,17beta-dihydroxy-5alpha­ androstane	4000	III	N	
17alpha-methyl-3beta,17beta-dihydroxy-5alpha­ androstane	4000	III	N	
17alpha-methyl-3beta,17beta-dihydroxyandrost-4-ene	4000	III	N	
17alpha-methyl-4-hydroxynandrolone (17alpha-methyl­ 4-hydroxy-17beta-hydroxyestr-4-en-3-one)	4000	III	N	
17alpha-methyl-delta1-dihydrotestosterone (17beta­ hydroxy-17alpha-methyl-5alpha-androst-1-en-3-one)	4000	III	N	17-alpha-methyl-1-testosterone
17α-methyl-5α-androstan-17β-ol	4000	III	N	
17α-methyl-androst-2-ene-3,17β-diol	4000	III	N	
17α-methyl-androsta-1,4-diene-3,17β-diol	4000	III	N	
17α-methyl-androstan-3-hydroxyimine-17β-ol	4000	III	N	
17β-hydroxy-androstano[2,3-d]isoxazole	4000	III	N	
17β-hydroxy-androstano[3,2-c]isoxazole	4000	III	N	
18a-homo-3-hydroxy-estra-2,5(10)-dien-17-one	4000	III	N	
19-nor-4,9(10)-androstadienedione	4000	III	N	
19-nor-4-androstenediol (3beta,17beta-dihydroxyestr-4­ ene; 3alpha,17beta-dihydroxyestr-4-ene)	4000	III	N	
19-nor-4-androstenedione (estr-4-en-3,17-dione)	4000	III	N	
19-nor-5-androstenediol (3beta,17beta-dihydroxyestr-5­ ene; 3alpha,17beta-dihydroxyestr-5-ene)	4000	III	N	
19-nor-5-androstenedione (estr-5-en-3,17-dione)	4000	III	N	
1-androstenediol (3beta,17beta-dihydroxy-5alpha­ androst-1-ene; 3alpha,17beta-dihydroxy-5alpha­ androst-1-ene)	4000	III	N	
1-androstenedione (5alpha-androst-1-en-3,17-dione)	4000	III	N	
1-methyl-4-phenyl-4-propionoxypiperidine	9661	I	Y	mppp, synthetic heroin
1-phenylcyclohexylamine	7460	II	N	pcp precursor
1-piperidinocyclohexanecarbonitrile	8603	II	N	pcc, pcp precursor
2-(2,5-dimethoxy-4-(n)-propylphenyl) ethanamine (2c­-p)	7524	I	N	2c-p
2-(2,5-dimethoxy-4-ethylphenyl) ethanamine (2c-e )	7509	I	N	2c-e (positional isomer: 2,5-dimethoxy-3,4-dimethylphenethylamine (2c-g))­
2-(2,5-dimethoxy-4-methylphenyl) ethanamine (2c-d)	7508	I	N	2c-d
2-(2,5-dimethoxy-4-nitro-phenyl) ethanamine (2c-n)	7521	I	N	2c-n
2-(2,5-dimethoxyphenyl) ethanamine (2c-h)	7517	I	N	2c-h
2-(4-bromo-2,5-dimethoxyphenyl)-n-(2-methoxybenzyl) ethanamine (25b-nbome)	7536	I	N	25b-nbome, 2c-b-nbome, 25b, cimbi-36
2-(4-chloro-2,5-dimethoxyphenyl) ethanamine (2c-c)	7519	I	N	2c-c
2-(4-chloro-2,5-dimethoxyphenyl)-n-(2-methoxybenzyl) ethanamine (25c-nbome)	7537	I	N	25c-nbome, 2c-c-nbome, 25c, cimbi-82
2-(4-ethylthio-2,5-dimethoxyphenyl) ethanamine (2c­-t-2 )	7385	I	N	2c-t-2
2-(4-iodo-2,5-dimethoxyphenyl) ethanamine (2c-i)	7518	I	N	2c-i
2-(4-iodo-2,5-dimethoxyphenyl)-n-(2-methoxybenzyl) ethanamine (25i-nbome)	7538	I	N	25i-nbome, 2c-i-nbome, 25i, cimbi-5
2-(4-isopropylthio)-2,5-dimethoxyphenyl) ethanamine (2c-t-4 )	7532	I	N	2c-t-4 (positional isomer: 2,5-dimethoxy-4-ethylthioamphetamine (aleph-2))­
2,5-dimethoxy-4-(n)-propylthiophenethylamine (2c-t­-7)	7348	I	N	2c-t-7 (positional isomer: 2,5-dimethoxy-4-ethylthioamphetamine (aleph-2))­
2,5-dimethoxy-4-ethylamphetamine	7399	I	N	doet
2,5-dimethoxyamphetamine	7396	I	N	dma, 2,5-dma
2-methoxy-n-(1-phenethylpiperidin-4-yl)-n­-phenylacetamide	9825	I	Y	methoxyacetyl fentanyl
2α,17α-dimethyl-17β-hydroxy-5β-androstan-3-one	4000	III	N	
2α,3α-epithio-17α-methyl-5α-androstan-17β-ol	4000	III	N	
3,4,5-trimethoxyamphetamine	7390	I	N	tma (positional isomers: 2,4,5-trimethoxy-amphetamine (tma-5), 2,4,6-trimethoxy-amphetamine (tma-6), escaline)­
3,4-methylenedioxyamphetamine	7400	I	N	mda, love drug
3,4-methylenedioxymethamphetamine	7405	I	N	mdma, ecstasy, xtc
3,4-methylenedioxy-n-ethylamphetamine	7404	I	N	n-ethyl mda, mde, mdea
3alpha,17beta-dihydroxy-5alpha-androstane	4000	III	N	
3beta,17beta-dihydroxy-5alpha-androstane	4000	III	N	
3-fluoro-n-methylcathinone (3-fmc)	1233	I	N	1-(3-fluorophenyl)-2-(methylamino)propan-1-one)(positional isomer: 2-fmc)
3-methylfentanyl	9813	I	Y	china white, fentanyl
3-methylthiofentanyl	9833	I	Y	china white, fentanyl
3β-hydroxy-estra-4,9,11-trien-17-one	4000	III	N	
4´-methyl-alpha-pyrrolidinohexiophenone (mphp)	7446	I	N	mphp
4-androstenediol (3beta,17beta-dihydroxy-androst-4­ ene)	4000	III	N	4-ad
4-androstenedione (androst-4-en-3,17-dione)	4000	III	N	
4-anilino-n-phenethyl-4-piperidine (anpp)	8333	II	N	anpp, despropionyl fentanyl
4-bromo-2,5-dimethoxyamphetamine	7391	I	N	dob, 4-bromo-dma
4-bromo-2,5-dimethoxyphenethylamine	7392	I	N	2c-b, nexus, has been sold as ecstasy, i.e. mdma
4-chloro-17α-methyl-17β-hydroxy-androst-4-en-3-one	4000	III	N	
4-chloro-17α-methyl-17β-hydroxy-androst-4-ene-3,11- dione	4000	III	N	
4-chloro-17α-methyl-androst-4-ene-3β,17β-diol	4000	III	N	
4-chloro-17α-methyl-androsta-1,4-diene-3,17β-diol	4000	III	N	
4-chloro-alpha-pyrrolidinovalerophenone (4-chloro-a­ pvp)	7443	I	N	4-chloro-a-pvp
4-cn-cumyl-butinaca (1-(4-cyanobutyl)-n-(2­ phenylpropan-2-yl)-1 h-indazole-3-carboxamide)	7089	I	N	4-cyano-cumyl-butinaca; 4-cn-cumyl binaca; cumyl-4cn-binaca; sgt-78
4-dihydrotestosterone (17beta-hydroxyandrostan-3­ one)	4000	III	N	anabolex, andractim, pesomax, stanolone
4-fluoroisobutyryl fentanyl (n-(4-fluorophenyl)-n-(1­ phenethylpiperidin-4-yl)isobutyramide)	9824	I	Y	para-fluoroisobutyryl fentanyl
4-fluoro-n-methylcathinone (4-fmc)	1238	I	N	flephedrone; 1-(4-fluorophenyl)-2­ (methylamino)propan-1-one) (positional isomer: 2­ fmc)
4-hydroxy-19-nortestosterone (4,17beta-dihydroxyestr­ 4-en-3-one)	4000	III	N	
4-hydroxy-androst-4-ene-3,17-dione	4000	III	N	listed as 4-hydroxy-androst-4-ene-3,17-dione[3,2­ c]pyrazole-5α-androstan-17β-ol
4-hydroxytestosterone (4,17beta-dihydroxyandrost-4­ en-3-one)	4000	III	N	
4-methoxyamphetamine	7411	I	N	pma
4-methyl-2,5-dimethoxyamphetamine	7395	I	N	dom, stp (positional isomer: 2,5-dimethoxy-3,4­ dimethylphenethylamine (2c-g))
4-methyl-alpha-ethylaminopentiophenone (4-meap)	7245	I	N	4-meap
4-methyl-alphapyrrolidinopropiophenone (4-meppp)	7498	I	N	meppp, 4-methyl-α-pyrrolidinopropiophenone, 1-(4- methylphenyl)-2-(pyrrolidin-1-yl)-propan-1-one)
4-methylaminorex (cis isomer)	1590	I	N	u4euh, mcn-422
4-methyl-n-ethylcathinone (4-mec)	1249	I	N	2-(ethylamino)-1-(4-methylphenyl)propan-1­ one)(positional isomers:3-methylethcathinone (3­ mec), 4-ethylmethcathinone (4-emc), 4­ methylbuphedrone (4-memabp;4-mebp), 3,4­ dimethylmethcathinone(3,4-dmmc),n­ ethylbuphedrone (neb),n-ethyl-n­ methylcathinone(emc))
5-androstenediol (3beta,17beta-dihydroxy-androst-5­ ene)	4000	III	N	
5-androstenedione (androst-5-en-3,17-dione)	4000	III	N	
5f-ab-pinaca (n-(1-amino-3-methyl-1-oxobutan-2­ yl)-1-(5-fluoropentyl)-1 h-indazole-3-carboxamide)	7025	I	N	
5f–adb; 5f–mdmb–pinaca (methyl 2-(1-(5- fluoropentyl)-1h-indazole-3-carboxamido)-3,3­ dimethylbutanoate)	7034	I	N	5f-adb, 5f-mdmb-pinaca
5f–amb (methyl 2-(1-(5-fluoropentyl)-1h-indazole-3- carboxamido)-3-methylbutanoate)	7033	I	N	5f-amb
5f–apinaca, 5f–akb48 (n-(adamantan-1-yl)-1-(5- fluoropentyl)-1h-indazole-3-carboxamide)	7049	I	N	5f-apinaca, 5f-akb48
5f-cumyl-p7aica (1-(5-fluoropentyl)-n-(2­ phenylpropan-2-yl)-1 h-pyrrolo[2,3-b]pyridine-3­ carboxamide)	7085	I	N	
5-fluoro-ur-144 and xlr11 [1-(5-fluoro-pentyl)1h­ indol-3-yl](2,2,3,3-tetramethylcyclopropyl)methanone	7011	I	N	5-fluoro-ur-144, xlr-11 and xlr11
5f-pb-22 (quinolin-8-yl 1-(5-fluoropentyl)-1h-indole-3­ carboxylate)	7225	I	N	5-fluoro-pb-22; 5f-pb-22
5-methoxy-3,4-methylenedioxyamphetamine	7401	I	N	mmda
5-methoxy-n,n-diisopropyltryptamine	7439	I	N	5-meo-dipt (positional isomer: 5-methoxy-n,n­ dipropyltryptamine (5-meo-dpt))
5-methoxy-n-n-dimethyltryptamine	7431	I	N	5-meo-dmt (positional isomer: 4-methoxy-n,n­ dimethyltryptamine (4-meo-dmt))
5α-androstan-3,6,17-trione	4000	III	N	
6-bromo-androsta-1,4-diene-3,17-dione	4000	III	N	
6-bromo-androstan-3,17-dione	4000	III	N	
6α-methyl-androst-4-ene-3,17-dione	4000	III	N	
ab-chminaca (n-(1-amino-3-methyl-1­ oxobutan-2-yl)-1-(cyclohexylmethyl)­ 1h-indazole-3-carboxamide	7031	I	N	ab-chminaca
ab-fubinaca (n-(1-amino-3-methyl-1-oxobutan-2-yl)­ 1-(4-fluorobenzyl)-1h-indazole-3-carboxamide)	7012	I	N	ab-fubinaca
ab-pinaca (n-(1-amino-3-methyl­ 1-oxobutan-2-yl)-1-pentyl-1h-indazole­ 3-carboxamide)	7023	I	N	ab-pinaca
acetorphine	9319	I	Y	
acetyl fentanyl (n-(1-phenethylpiperidin-4-yl)-n­ phenylacetamide)	9821	I	Y	
acetyl-alpha-methylfentanyl	9815	I	Y	
acetyldihydrocodeine	9051	I	Y	acetylcodone
acetylmethadol	9601	I	Y	methadyl acetate
acryl fentanyl (n-(1-phenethylpiperidin-4-yl)-n­ phenylacrylamide)	9811	I	Y	acryloylfentanyl
adb–fubinaca (n-(1-amino-3,3-dimethyl-1-oxobutan- 2-yl)-1-(4-fluorobenzyl)-1h-indazole-3-carboxamide)	7010	I	N	adb-fubinaca
adb-pinaca (n-(1-amino-3,3-dimethyl-1-oxobutan-2­ yl)-1-pentyl-1h-indazole-3-carboxamide)	7035	I	N	adb-pinaca
ah-7921 (3,4-dichloro-n-[(1­ dimethylamino)cyclohexylmethyl]benzamide))	9551	I	Y	ah-7921
alfaxalone	2731	IV	N	alfaxan, 5α-pregnan-3α-ol-11,20-dione
alfentanil	9737	II	Y	alfenta
allylprodine	9602	I	Y	
alphacetylmethadol except levo-alphacetylmethadol	9603	I	Y	
alpha-ethyltryptamine	7249	I	N	et, trip
alphameprodine	9604	I	Y	
alphamethadol	9605	I	Y	
alpha-methylfentanyl	9814	I	Y	china white, fentanyl
alpha-methylthiofentanyl	9832	I	Y	china white, fentanyl
alpha-methyltryptamine	7432	I	N	amt (positional isomer: n-methyltryptamine)
alphaprodine	9010	II	Y	nisentil
alpha-pyrrolidinobutiophenone (α-pbp)	7546	I	N	1-phenyl-2-(pyrrolidin-1-yl)butan-1-one)
alpha-pyrrolidinoheptaphenone (pv8)	7548	I	N	pv8
alpha-pyrrolidinohexanophenone (a-php)	7544	I	N	a-php
alpha-pyrrolidinopentiophenone (α-pvp)	7545	I	N	α-pyrrolidinovalerophenone, 1-phenyl-2- (pyrrolidin-1- yl)pentan-1-one)(positional isomers: 4-methyl-α- pyrrolidinobutiophenone (4-mepbp), 1-phenyl-2­ (piperidin-1-yl)butan-1-one)
alprazolam	2882	IV	N	xanax
am2201 (1-(5-fluoropentyl)-3-(1-naphthoyl) indole)	7201	I	N	am2201
am-694 (1-(5-fluoropentyl)-3-(2-iodobenzoyl) indole)	7694	I	N	am-694
aminorex	1585	I	N	has been sold as methamphetamine
amobarbital	2125	II	N	amytal, tuinal
amobarbital & noncontrolled active ingred.	2126	III	N	
amobarbital suppository dosage form	2126	III	N	
amphetamine	1100	II	N	dexedrine, adderall, obetrol
anabolic steroids	4000	III	N	"""body building"" drugs"
androstanedione (5alpha-androstan-3,17-dione)	4000	III	N	
anileridine	9020	II	Y	leritine
apinaca and akb48 n-(1-adamantyl)-1-pentyl-1h­ indazole-3-carboxamide	7048	I	N	apinaca and akb48
approved cannabidiol drugs (as defined in 21 cfr 1308.15(f))	7367	V	N	a drug product in finished dosage formulation that has been approved by the u.s. food and drug administration that contains cannabidiol derived from cannabis and no more than 0.1 percent (w/w) residual tetrahydrocannabinols.
aprobarbital	2100	III	N	alurate
barbital	2145	IV	N	veronal, plexonal, barbitone
barbituric acid derivative	2100	III	N	barbiturates not specifically listed
benzethidine	9606	I	Y	
benzphetamine	1228	III	N	didrex, inapetyl
benzylmorphine	9052	I	Y	
betacetylmethadol	9607	I	Y	
beta-hydroxy-3-methylfentanyl	9831	I	Y	china white, fentanyl
beta-hydroxyfentanyl	9830	I	Y	china white, fentanyl
beta-hydroxythiofentanyl	9836	I	Y	n-[1-[2-hydroxy-2-(thiophen-2-yl)ethyl]piperidin-4-yl]­ n-phenylpropionamide, n-[1-[2-hydroxy-2-(2­ thienyl)ethyl]-4-piperidinyl]-n-phenylpropanamide
betameprodine	9608	I	Y	
betamethadol	9609	I	Y	
betaprodine	9611	I	Y	
bezitramide	9800	II	Y	burgodin
bolasterone (7alpha,17alpha-dimethyl-17beta­ hydroxyandrost-4-en-3-one)	4000	III	N	
boldenone (17beta-hydroxyandrost-1,4-diene-3-one)	4000	III	N	equipoise, parenabol, vebonol, dehydrotestosterone
boldione	4000	III	N	
brivaracetam	2710	V	N	brv, ucb-34714, briviact, ((2s)-2-[(4r)-2-oxo-4­ propylpyrrolidin-1-yl] butanamide)
bromazepam	2748	IV	N	lexotan, lexatin, lexotanil
bufotenine	7433	I	N	mappine, n,n-dimethylserotonin
buprenorphine	9064	III	Y	buprenex, temgesic, subutex, suboxone
butabarbital (secbutabarbital)	2100	III	N	butisol, butibel
butalbital	2100	III	N	fiorinal, butalbital with aspirin
butobarbital (butethal)	2100	III	N	soneryl (uk)
butorphanol	9720	IV	N	stadol, stadol ns, torbugesic, torbutrol
butylone	7541	I	N	bk-mbdb; 1-(1,3-benzodioxol-5-yl)-2­ (methylamino)butan-1-one) (positional isomers: ethylone (bk-mdea; mdec), dimethylone (bk- mddma; mddmc))
butyryl fentanyl	9822	I	Y	n-(1-phenethylpiperidin-4-yl)-n-phenylbutyramide, n­ (1-phenethylpiperidin-4-yl)-n-phenylbutanamide
calusterone (7beta,17alpha-dimethyl-17beta­ hydroxyandrost-4-en-3-one)	4000	III	N	methosarb
camazepam	2749	IV	N	albego, limpidon, paxor
carfentanil	9743	II	Y	wildnil
carisoprodol	8192	IV	N	soma
cathine	1230	IV	N	"constituent of ""khat"" plant, (+)-norpseudoephedrine"
cathinone	1235	I	N	"constituent of ""khat"" plant"
chloral betaine	2460	IV	N	beta chlor
chloral hydrate	2465	IV	N	noctec
chlordiazepoxide	2744	IV	N	librium, libritabs, limbitrol, sk-lygen
chlorhexadol	2510	III	N	mechloral, mecoral, medodorm, chloralodol
chlorphentermine	1645	III	N	pre-sate, lucofen, apsedon, desopimon
clobazam	2751	IV	N	urbadan, urbanyl
clonazepam	2737	IV	N	klonopin, clonopin
clonitazene	9612	I	Y	
clorazepate	2768	IV	N	tranxene
clortermine	1647	III	N	voranil
clostebol (4-chloro-17beta-hydroxyandrost-4-en-3-one)	4000	III	N	alfa-trofodermin, clostene, 4-chlorotestosterone
clotiazepam	2752	IV	N	trecalmo, rize, clozan, veratran
cloxazolam	2753	IV	N	akton, lubalix, olcadil, sepazon
coca leaves	9040	II	Y	
cocaine	9041	II	Y	methyl benzoylecgonine, crack
codeine	9050	II	Y	morphine methyl ester, methyl morphine
codeine & isoquinoline alkaloid 90 mg/du	9803	III	Y	codeine with papaverine or noscapine
codeine combination product 90 mg/du	9804	III	Y	empirin,fiorinal,tylenol,asa or apap w/codeine
codeine methylbromide	9070	I	Y	
codeine preparations - 200 mg/(100 ml or 100 gm)		V	Y	cosanyl,robitussin a-c,cheracol,cerose,pediacof
codeine-n-oxide	9053	I	Y	
cp-47,497 (5-(1,1-dimethylheptyl)-2-[(1r,3s)-3­ hydroxycyclohexyl-phenol)	7297	I	N	cp-47,497
cp-47,497 c8 homologue (5-(1,1-dimethyloctyl)-2­ [(1r,3s)3-hydroxycyclohexyl-phenol)	7298	I	N	cp-47,497 c8 homologue
cyclopentyl fentanyl	9847	I	Y	n-(1-phenethylpiperidin-4-yl)-n­ phenylcyclopentanecarboxamide
cyclopropyl fentanyl	9845	I	Y	n-(1-phenethylpiperidin-4-yl)-n­ phenylcyclopropanecarboxamide
cyprenorphine	9054	I	Y	
dehydrochloromethyltestosterone (4-chloro-17beta­ hydroxy-17alpha-methylandrost-1,4-dien-3-one)	4000	III	N	oral-turinabol
delorazepam	2754	IV	N	
delta1-dihydrotestosterone (17beta-hydroxy-5alpha­ androst-1-en-3-one)	4000	III	N	1-testosterone
desomorphine	9055	I	Y	
desoxymethyltestosterone	4000	III	N	
dexfenfluramine	1670	IV	N	redux
dextromoramide	9613	I	Y	palfium, jetrium, narcolo
dextropropoxyphene dosage forms	9278	IV	Y	darvon, propoxyphene, darvocet, propacet
dextropropoxyphene, bulk (non-dosage forms)	9273	II	Y	propoxyphene
diampromide	9615	I	Y	
diazepam	2765	IV	N	valium, diastat
dichloralphenazone	2467	IV	N	midrin, dichloralantipyrine
diethylpropion	1610	IV	N	tenuate, tepanil
diethylthiambutene	9616	I	Y	
diethyltryptamine	7434	I	N	det, n,n-diethyltryptamine (positional isomer: n­ methyl-n-isopropyltryptamine (mipt))
difenoxin	9168	I	Y	lyspafen
difenoxin 1 mg/25 ug atso4/du	9167	IV	Y	motofen
difenoxin preparations - 0.5 mg/25 ug atso4/du		V	Y	motofen
dihydrocodeine	9120	II	Y	didrate, parzone
dihydrocodeine combination product 90 mg/du	9807	III	Y	synalgos-dc, compal
dihydrocodeine preparations 100mg/(100 ml or 100 gm)		V	Y	cophene-s, various others
dihydroetorphine	9334	II	Y	dhe
dihydromorphine	9145	I	Y	
dimenoxadol	9617	I	Y	
dimepheptanol	9618	I	Y	
dimethylthiambutene	9619	I	Y	
dimethyltryptamine	7435	I	N	dmt
dioxaphetyl butyrate	9621	I	Y	
diphenoxylate	9170	II	Y	
diphenoxylate preparations 2.5 mg/25 ug atso4		V	Y	lomotil, logen
dipipanone	9622	I	Y	dipipan, phenylpiperone hcl, diconal, wellconal
dronabinol (synthetic) in sesame oil in soft gelatin capsule as approved by fda	7369	III	N	marinol, synthetic thc in sesame oil/soft gelatin as approved by fda
dronabinol in an oral solution in a drug product approved for marketing by the u.s. food and drug administration	7365	II	N	syndros
drostanolone (17beta-hydroxy-2alpha-methyl-5alpha­ androstan-3-one)	4000	III	N	drolban, masterid, permastril
drotebanol	9335	I	Y	metebanyl, oxymethebanol
