Slang	Associated Drug
organic quaalude	ghb (gamma-hydroxybutyric acid)
owsley	lsd (lysergic acid diethylamide)
oxy 80s	oxycodone (oxycontin®, roxicodone®, oxaydo®)
oyster stew	cocaine
ozone	pcp (phencyclidine)
paint	cocaine; methamphetamine
paja	marijuana
pakalolo	marijuana
paleta	cocaine
palitroque	alprazolam (xanax®)
palm	marijuana
paloma	cocaine; marijuana
palomita	marijuana
palomos	cocaine
panama cut	marijuana
panama gold	marijuana
panama red	marijuana
pandora’s box	synthetic cannabinoids
pantalones	cocaine; methamphetamine
pants	heroin
papas	cocaine
paper acid	lsd (lysergic acid diethylamide)
paradise	cocaine
paradise white	cocaine
parrot	cocaine
parsley	marijuana
pastas	amphetamine
paste	crack cocaine
pastillas	amphetamine
pasto	marijuana
pasture	marijuana
patty	heroin
patudas	methamphetamine
paulas	acetaminophen and oxycodone combination (percocet®)
peace	ecstasy/mdma/molly
peace pill	pcp (phencyclidine)
peaches	amphetamine
peanut butter crank	methamphetamine
pearl	cocaine
pearly gates	lsd (lysergic acid diethylamide)
pebbles	crack cocaine
pedrito	cocaine
pedro martinez	crack cocaine
pee wee	crack cocaine
peep	pcp (phencyclidine)
peliroja	marijuana
pellets	lsd (lysergic acid diethylamide)
pelosa	marijuana
pen yan	opium
pep pills	amphetamine
pepper	amphetamine
percs	acetaminophen and oxycodone combination (percocet®)
perico	cocaine
personal	cocaine
peruvian	cocaine
peruvian flake	cocaine
peruvian lady	cocaine
pescado	cocaine
peta	cocaine
peter pan	pcp (phencyclidine)
p-funk	heroin
pharmacy	fentanyl and fentanyl derivatives
phoenix	lsd (lysergic acid diethylamide); marijuana; synthetic cannabinoids
phone screen
cleaner"	synthetic cathinones
pichicata	cocaine
piedras	crack cocaine
piezas	heroin
pig killer	pcp (phencyclidine)
pile	crack cocaine
pillow	cocaine
pimp	cocaine
pin gon	opium
pin yen	opium
piñata	methamphetamine
pine	marijuana
pineapple	methylphenidate (ritalin®, concerta®, daytrana®)
pineapple express	synthetic cannabinoids
pingas	amphetamine; cocaine
pingaz	ecstasy/mdma/molly
pingers	ecstasy/mdma/molly
pingos	cocaine
pingus	flunitrazepam (rohypnol®)
pink	u-47700
pink blotters	lsd (lysergic acid diethylamide)
pink hearts	amphetamine
pink panther	marijuana
pink panthers	lsd (lysergic acid diethylamide)
pink robots	lsd (lysergic acid diethylamide)
pink wedges	lsd (lysergic acid diethylamide)
pink witches	lsd (lysergic acid diethylamide)
pinky	u-47700
pintura	marijuana
pintura blanca	cocaine
pixies	amphetamine
pizza	lsd (lysergic acid diethylamide)
pizza toppings	psilocybin mushrooms
planks	alprazolam (xanax®)
plant	marijuana
plant feeder	synthetic cathinones
plant food	synthetic cathinones
plata	heroin
platinum cookies	hydroponic marijuana
platinum jack	marijuana
pocket rocket	marijuana
pointy ones	methamphetamine
poison	fentanyl and fentanyl derivatives; heroin
poli	cocaine
pollito	methamphetamine
pollo	cocaine
pollutants	amphetamine
polvo	cocaine; heroin
polvo de alegria	heroin
polvo de estrellas	heroin
polvo feliz	heroin
pony	crack cocaine
poor man’s cocaine	methylphenidate (ritalin®, concerta®, daytrana®)
popcorn	marijuana
poppy	heroin
popsicle	methamphetamine
porro	marijuana
posh	synthetic cannabinoids
potato	lsd (lysergic acid diethylamide)
potpourri	synthetic cannabinoids
powder	cocaine; heroin
powder diamonds	cocaine
pretendo	marijuana
primo	crack cocaine
prop 215	marijuana
prostituta negra	heroin
psilly billy	psilocybin mushrooms
puff	marijuana
puffy	pcp (phencyclidine)
puma	cocaine
pumpers	steroids
puppy	heroin
pure	heroin
pure ivory	synthetic cathinones
pure love	lsd (lysergic acid diethylamide)
puritain	cocaine
purple	ketamine (ketalar®); methamphetamine
purple	promethazine
purple barrels	lsd (lysergic acid diethylamide)
purple drank	promethazine
purple haze	lsd (lysergic acid diethylamide); marijuana
purple hearts	amphetamine; lsd (lysergic acid diethylamide)
purple og	marijuana
purple passion	psilocybin mushrooms
purple rain	pcp (phencyclidine)
purple tickets	lsd (lysergic acid diethylamide)
purple wave	synthetic cathinones
quadros	cocaine
quarters	crack cocaine
queen ann’s lace	marijuana
queso blanco	cocaine
r.i.p.	crack cocaine
racehorse charlie	cocaine
ragweed	marijuana
railroad weed	marijuana
rainy day woman	marijuana
rambo	cocaine; heroin
rapture	synthetic cannabinoids
raspado	methamphetamine
rasta weed	marijuana
r-ball	methylphenidate (ritalin®, concerta®, daytrana®)
ready rock	crack cocaine
rechard	synthetic cathinones
red caps	crack cocaine
red chicken	heroin
red cross	marijuana
red devil	pcp (phencyclidine)
red dirt	marijuana
red dove	synthetic cathinones
red eagle	heroin
red hair	marijuana
red magic	synthetic cannabinoids
reefer	marijuana
refrescas	cocaine
refresco	cocaine
reggie	marijuana
regular kind	cocaine
regular work	cocaine
reindeer dust	cocaine; heroin
repollo	marijuana
rest in peace	crack cocaine
rewind	synthetic cannabinoids
reynolds	flunitrazepam (rohypnol®)
rhythm	amphetamine
richie	cocaine
rids	methylphenidate (ritalin®, concerta®, daytrana®)
righteous bush	marijuana
rims	"acetaminophen and oxycodone combination (percocet®); cocaine;
methamphetamine
rippers	amphetamine
rittys	methylphenidate (ritalin®, concerta®, daytrana®)
roach	flunitrazepam (rohypnol®)
road dope	amphetamine
roapies	flunitrazepam (rohypnol®)
roca	crack cocaine
rochas	flunitrazepam (rohypnol®)
rock	crack cocaine
rock attack	crack cocaine
rocket fuel	methamphetamine; pcp (phencyclidine)
rocks of hell	crack cocaine
rocky iii	crack cocaine
rocky mountain	cocaine
roids	steroids
rojo	promethazine
rolex	cocaine
rolex hh	cocaine
rolling	ecstasy/mdma/molly
rolls	ecstasy/mdma/molly
roofies	flunitrazepam (rohypnol®)
roofing tar	heroin
rooster	cocaine; crack cocaine
root	marijuana
rope	marijuana
rophie	flunitrazepam (rohypnol®)
rosa maria	marijuana
roses	amphetamine
ro-shay	flunitrazepam (rohypnol®)
rosin	marijuana concentrates/hash oil
rosin tech	marijuana concentrates/hash oil
roxy	oxycodone (oxycontin®, roxicodone®, oxaydo®)
roxy shorts	oxycodone (oxycontin®, roxicodone®, oxaydo®)
roxyanne	crack cocaine
r-pop	methylphenidate (ritalin®, concerta®, daytrana®)
ruby	heroin
rueda	amphetamine
running	ecstasy/mdma/molly
rupture	pcp (phencyclidine)
sack	heroin
salt	heroin; methamphetamine
salt and pepper	marijuana
salting	synthetic cathinones
salty water	ghb (gamma-hydroxybutyric acid)
san pedro	mescaline/peyote
sand	heroin
santa maria	marijuana
sasafras	marijuana
sativa	marijuana
sauce	marijuana concentrates/hash oil
scag	heroin
scale	cocaine
scarface	synthetic cathinones
scat	heroin
schmeck	cocaine; heroin
school bus	alprazolam (xanax®)
schoolboy	cocaine
schoolcraft	crack cocaine
scooby snacks	ecstasy/mdma/molly
scooby snax	synthetic cannabinoids
scoop	ghb (gamma-hydroxybutyric acid)
scorpion	cocaine
scottie	cocaine
scotty	crack cocaine
scramble	crack cocaine; uncut heroin
scratch	hydrocodone (norco®, vicodin®, lorcet®)
scruples	crack cocaine
scuffle	pcp (phencyclidine)
seed	cocaine
seni	mescaline/peyote
serpico	cocaine
seven-up	crack cocaine
sexy	synthetic cannabinoids
shabu	methamphetamine
shaman	mescaline/peyote
shards	methamphetamine
shatter	marijuana concentrates/hash oil; methamphetamine
shaved ice	methamphetamine
sheep	heroin
sheets	pcp (phencyclidine)
sherms	crack cocaine; pcp (phencyclidine)
shermstick	pcp (phencyclidine)
shiny girl	methamphetamine
shirt	cocaine
shirts	heroin
shmagma	marijuana
shoes	fentanyl and fentanyl derivatives; heroin; marijuana
shora	marijuana
shrimp	marijuana
shwag	marijuana
sierra	cocaine
sight ball	crack cocaine
silly putty	psilocybin mushrooms
simple simon	psilocybin mushrooms
sinsemilla	marijuana
sizurup	promethazine
sizzurp	promethazine
skag	heroin
skee	opium
ski equipment	cocaine
skippy	methylphenidate (ritalin®, concerta®, daytrana®)
skittle	ecstasy/mdma/molly
skittles	methylphenidate (ritalin®, concerta®, daytrana®); promethazine
skunk	heroin; marijuana
sky high	synthetic cannabinoids
skywalker	hydroponic marijuana
slab	crack cocaine
sleet	crack cocaine
sleigh ride	cocaine
slime	heroin
slits	ecstasy/mdma/molly
smack	heroin
smacks	ecstasy/mdma/molly
small girl	methamphetamine
smart pills	amphetamine and dextroamphetamine combination (adderall®)
smarties	"amphetamine and dextroamphetamine combination (adderall®);
ecstasy/mdma/molly; methylphenidate (ritalin®, concerta®, daytrana®)"
smeck	heroin
smoke	crack cocaine; marijuana
smoke canada	marijuana
smoochy woochy
poochy"	marijuana
snake bite	synthetic cannabinoids
snaps	amphetamine
sneeze	cocaine
snickers	heroin
sniff	cocaine
snow	cocaine
snow bird	cocaine
snow cone	cocaine
snow leopard	synthetic cathinones
snow pallets	amphetamine
snow white	cocaine
snowball	cocaine
snowflake	cocaine; fentanyl and fentanyl derivatives
soap	ghb (gamma-hydroxybutyric acid)
soap dope	methamphetamine
sobos	buprenorphine and naloxone combination (suboxone®)
society high	cocaine
soda	cocaine; heroin
soditas	cocaine
soft	cocaine
soft ones	methamphetamine
solar flare	synthetic cannabinoids
solventless	marijuana concentrates/hash oil
sour og	marijuana
space	cocaine mixed with pcp
sparkle plenty	amphetamine
sparklers	amphetamine
special	cocaine
special k	ketamine (ketalar®)
special la coke	ketamine (ketalar®)
speed	amphetamine; methamphetamine
speed boat	crack cocaine
speed dog	methamphetamine
speed for lovers	ecstasy/mdma/molly
speedball	cocaine mixed with heroin
spice	synthetic cannabinoids
spicy kind	methamphetamine
spider blue	heroin
spike diamond	synthetic cannabinoids
spin	methamphetamine
spit and die	lsd (lysergic acid diethylamide)
splash	amphetamine
spliff	marijuana
spores	pcp (phencyclidine)
square time bomb	crack cocaine
stackers	steroids
"star spangled
powder"	cocaine
stardust	cocaine; pcp (phencyclidine); synthetic cathinones
stemmies	psilocybin mushrooms
stems	marijuana
sticks	alprazolam (xanax®)
sticky	marijuana
sticky kind	heroin
stink weed	marijuana
stone	crack cocaine
stop signs	buprenorphine and naloxone combination (suboxone®)
stops	buprenorphine and naloxone combination (suboxone®)
storm	synthetic cannabinoids
stove top	methamphetamine
studio fuel	cocaine
study buddies	"amphetamine and dextroamphetamine combination (adderall®);
methylphenidate (ritalin®, concerta®, daytrana®)
study skittles	amphetamine and dextroamphetamine combination (adderall®)
stufa	heroin
stuff	methamphetamine
suave	cocaine
subs	buprenorphine and naloxone combination (suboxone®)
sugar	cocaine; heroin
sugar block	crack cocaine
sugar cubes	lsd (lysergic acid diethylamide)
sugar lumps	lsd (lysergic acid diethylamide)
sugar weed	marijuana
sunshine	lsd (lysergic acid diethylamide)
super acid	ketamine (ketalar®)
super c	ketamine (ketalar®)
super grass	pcp (phencyclidine)
super ice	methamphetamine
super kools	pcp (phencyclidine)
super valium	clonazepam (klonopin®)
super weed	pcp (phencyclidine)
superman	cocaine; lsd (lysergic acid diethylamide)
surfer	pcp (phencyclidine)
sweet jesus	heroin
sweet leaf	synthetic cannabinoids
sweet lucy	marijuana
sweet stuff	cocaine
sweeties	amphetamine
sweets	amphetamine; ecstasy/mdma/molly
synthetic cocaine	pcp (phencyclidine)
synthetic marijuana	synthetic cannabinoids
syrup	promethazine
tabique	cocaine
tablas	cocaine
table	methamphetamine
tabs	"hydrocodone (norco®, vicodin®, lorcet®); lsd (lysergic acid
diethylamide)"
tacatosa	lsd (lysergic acid diethylamide)
tacha	ecstasy/mdma/molly
tahoe	hydroponic marijuana
tail lights	lsd (lysergic acid diethylamide)
takeover	crack cocaine mixed with fentanyl
taking a cruise	pcp (phencyclidine)
talco	cocaine
talquito	cocaine
tamales	cocaine
tango and cash	fentanyl and fentanyl derivatives
tangy og	marijuana
taxi	cocaine
t-buzz	pcp (phencyclidine)
tecata	heroin
tecate	cocaine
teddy bears	lsd (lysergic acid diethylamide)
teenager	cocaine
teeth	cocaine; crack cocaine
tens	amphetamine
tension	crack cocaine
tequila	cocaine
terp	marijuana
terp sauce	marijuana concentrates/hash oil
terpenes	marijuana
terraband	synthetic cannabinoids
texas tea	marijuana
tex-mex	marijuana
thca	marijuana concentrates/hash oil
thca crystal	marijuana concentrates/hash oil
thca crystalline	marijuana concentrates/hash oil
thca powder	marijuana concentrates/hash oil
thizz	ecstasy/mdma/molly
thrusters	amphetamine
thunder	cocaine; heroin
tic tac	pcp (phencyclidine)
ticket	lsd (lysergic acid diethylamide)
tigitty	marijuana
tila	marijuana
time traveler	synthetic cannabinoids
tims	marijuana
tina	methamphetamine
tire	cocaine
tires	"acetaminophen and oxycodone combination (percocet®); heroin;
methamphetamine"
tish	pcp (phencyclidine)
tissue	crack cocaine
toe tag dope	fentanyl and fentanyl derivatives
tomasa	heroin
tonto	cocaine
toot	cocaine
tootsie roll	heroin
top gear	synthetic cannabinoids
top gun	crack cocaine
top shelf	marijuana
topi	mescaline/peyote
tops	mescaline/peyote
tortes	cocaine
tortuga	cocaine
tosca	marijuana
toxy	opium
toyota	cocaine
toys	opium
tr-6s	amphetamine
tragic magic	heroin
train wreck	marijuana; synthetic cannabinoids
tranks	clonazepam (klonopin®); pcp (phencyclidine)
trash	methamphetamine
trees	heroin; marijuana
trichrome	marijuana concentrates/hash oil
trinity og	marijuana
trip-and-fall	flunitrazepam (rohypnol®)
triple v	vicodin® taken with valium® and vodka
troop	crack cocaine
truck	methamphetamine
truck drivers	"amphetamine; amphetamine and dextroamphetamine combination
(adderall®); methylphenidate (ritalin®, concerta®, daytrana®)"
t-shirts	cocaine
tubo	cocaine
tucibi	cocaine - pink variety
tupperware	methamphetamine
turkey	cocaine
turn abouts	amphetamine
turtle	heroin
tutti fruitti	cocaine
tweak	methamphetamine
tweeds	marijuana
tweezes	psilocybin mushrooms
ultimate	crack cocaine; synthetic cannabinoids
unassembled	powder methamphetamine
uncle sid	lsd (lysergic acid diethylamide)
unkie	morphine
upjohns	alprazolam (xanax®)
uppers	amphetamine; methamphetamine
valle	marijuana
valley dolls	lsd (lysergic acid diethylamide)
vanilla sky	synthetic cathinones
vaquita	cocaine
veeks	hydrocodone (norco®, vicodin®, lorcet®)
velvet	promethazine
venom	pcp (phencyclidine)
ventanas	methamphetamine
vics	hydrocodone (norco®, vicodin®, lorcet®)
vidrio	heroin; methamphetamine
vikes	hydrocodone (norco®, vicodin®, lorcet®)
viper	synthetic cannabinoids
vitamin e	ecstasy/mdma/molly
vitamin k	ketamine (ketalar®)
vitamin r	methylphenidate (ritalin®, concerta®, daytrana®)
vodka acid	lsd (lysergic acid diethylamide)
voodoo chils	synthetic cannabinoids
vowels	ecstasy/mdma/molly
wack	pcp mixed with cocaine
wake and bake	marijuana
wake ups	amphetamine
walking zombie	methamphetamine
wash	cocaine
water	"ghb (gamma-hydroxybutyric acid); methamphetamine; pcp
(phencyclidine)"
watsons	hydrocodone (norco®, vicodin®, lorcet®)
wave	crack cocaine
wazabi	synthetic cannabinoids
wazz	methamphetamine
wedding bells	lsd (lysergic acid diethylamide)
wedge	lsd (lysergic acid diethylamide)
weed	marijuana
weed tea	marijuana
weight gainers	steroids
weights	heroin
west coast
turnarounds"	amphetamine
whack	cocaine mixed with pcp
wheat	marijuana
wheels	acetaminophen and oxycodone combination (percocet®); amphetamine
when-shee	opium
whiffle dust	amphetamine
whisky	heroin
white	cocaine; heroin
white ball	crack cocaine
white bitch	cocaine
white boy	heroin
white boys	alprazolam (xanax®)
white cross	cocaine
white crosses	amphetamine
white dove	cocaine; synthetic cathinones
white dust	lsd (lysergic acid diethylamide)
white fluff	lsd (lysergic acid diethylamide)
white ghost	crack cocaine
white girl	heroin; fentanyl and fentanyl derivatives
white girls	alprazolam (xanax®); cocaine
white goat	cocaine
white horizon	pcp (phencyclidine)
white horse	cocaine
white junk	heroin
white knight	synthetic cathinones
white ladies	fentanyl and fentanyl derivatives
white lady	cocaine; heroin
white lightening	lsd (lysergic acid diethylamide); synthetic cathinones
white magic	synthetic cathinones
white mercedes	ecstasy/mdma/molly
"white mercedes
benz"	cocaine
white mosquito	cocaine
white nurse	heroin
white owsley	lsd (lysergic acid diethylamide)
white paint	cocaine
white powder	cocaine
white rock	cocaine
white root	cocaine
white shirt	cocaine; heroin
white stuff	heroin; morphine
white sugar	crack cocaine
white t	cocaine
white tornado	crack cocaine
white wall tires	cocaine
white whizz	methamphetamine
white-haired lady	marijuana
whites	amphetamine; oxycodone (oxycontin®, roxicodone®, oxaydo®)
whitey	cocaine
whiz bang	cocaine
wicked	synthetic cannabinoids
wicked x	synthetic cathinones
window glass	lsd (lysergic acid diethylamide)
window pane	lsd (lysergic acid diethylamide)
windows	methamphetamine
wings	cocaine; heroin
witch	heroin
witch hazel	heroin
witches teeth	methamphetamine
wizard	synthetic cannabinoids
wobble	ketamine (ketalar®)
wobble weed	pcp (phencyclidine)
wolfies	flunitrazepam (rohypnol®); pcp (phencyclidine)
wonky	ketamine (ketalar®)
wooly	cocaine
wooz	marijuana
work	cocaine
worm	pcp (phencyclidine)
wrecking crew	crack cocaine
xanies	alprazolam (xanax®)
xtreme	synthetic cannabinoids
yaba	methamphetamine
yahoo	crack cocaine
yale	crack cocaine
yayo	cocaine
yellow barn	methamphetamine
yellow boys	alprazolam (xanax®)
yellow cake	methamphetamine
yellow dimples	lsd (lysergic acid diethylamide)
yellow fever	pcp (phencyclidine)
yellow kind	methamphetamine
yellow submarine	marijuana
yellow sunshine	lsd (lysergic acid diethylamide)
yen pop	marijuana
yerba	marijuana
yesca	marijuana
yeyo	cocaine
yimyom	crack cocaine
yoda	cocaine
yokes	ecstasy/mdma/molly
young girls	marijuana
yucatan	synthetic cannabinoids
yucatan fire	synthetic cannabinoids
zacate	marijuana
zacatecas	marijuana
zambi	marijuana
zanbars	alprazolam (xanax®)
zannies	alprazolam (xanax®)
zapapote	heroin
zapato	cocaine
z-bars	alprazolam (xanax®)
zero	opium
zero gravity	synthetic cannabinoids
zing	amphetamine and dextroamphetamine combination (adderall®)
zohai	synthetic cannabinoids
zombie	pcp (phencyclidine); synthetic cannabinoids
zoom	marijuana mixed with pcp; synthetic cathinones
zoomers	amphetamine
